utterance,speaker,word_index,word,human_stress,human_correct,ctc_viterbi_primary_probability,ctc_viterbi_canonical_location_correct,mfa_primary_probability,mfa_canonical_location_correct
000940147,0094,3,BERLIN,10.0,1,0.1192,0,0.5987,1
000960002,0096,0,LISA,10.0,1,0.8808,1,0.4013,0
000960019,0096,4,TIGER,10.0,1,0.8808,1,0.8808,1
000960066,0096,1,LILLY,10.0,1,0.4013,0,0.8808,1
000960066,0096,4,BASEBALL,10.0,1,0.8808,0,0.8808,0
000960071,0096,2,HANDBALL,10.0,1,0.8808,1,0.8808,1
000960073,0096,0,SANDY,10.0,1,0.8808,1,0.8808,1
001110023,0111,3,GERMANY,10.0,1,0.7084,1,0.7341,1
001110056,0111,0,DRESSES,10.0,1,0.8808,1,0.4013,0
001110056,0111,2,SCIENTIST,10.0,1,0.5249,1,0.5365,1
001110060,0111,1,RAINCOAT,10.0,1,0.4013,0,0.4013,0
001110067,0111,0,BILLY,10.0,1,0.8808,1,0.8808,1
001110067,0111,4,RACING,10.0,1,0.8808,1,0.8808,1
001110072,0111,0,MANDY,10.0,1,0.8808,1,0.4013,0
001110114,0111,2,WALKING,10.0,1,0.8808,1,0.4013,0
001110135,0111,0,DORA,10.0,1,0.8808,1,0.4013,0
001110137,0111,5,POLICE,10.0,1,0.5987,1,0.5987,1
001110141,0111,2,TODAY,10.0,1,0.5987,1,0.5987,1
001110141,0111,4,FRIDAY,10.0,1,0.8808,1,0.8808,1
001120024,0112,0,LISA,10.0,1,0.8808,1,0.8808,1
001120090,0112,2,SHOULDER,10.0,1,0.8808,1,0.8808,1
001120097,0112,0,JAYME,10.0,1,0.8808,1,0.8808,1
001120105,0112,0,LISA,10.0,1,0.8808,1,0.4013,0
001120119,0112,1,ALICE,10.0,1,0.4013,0,0.8808,1
001120119,0112,3,INTO,10.0,1,0.4013,0,0.4013,0
001120119,0112,5,LIVING,10.0,1,0.4013,0,0.8808,1
001120141,0112,2,TODAY,10.0,1,0.8808,1,0.5987,1
001120148,0112,0,MANDY,10.0,1,0.8808,1,0.8808,1
001120148,0112,3,CANBERRA,10.0,1,0.7877,1,0.5867,1
001120159,0112,2,VERY,10.0,1,0.4013,0,0.8808,1
001120159,0112,3,PRETTY,10.0,1,0.4013,0,0.4013,0
001130019,0113,0,LISA,10.0,1,0.8808,1,0.4013,0
001130019,0113,4,ZEBRA,10.0,1,0.8808,1,0.4013,0
001130073,0113,0,MANDY,10.0,1,0.4013,0,0.4013,0
001130073,0113,3,ROWING,10.0,1,0.4013,0,0.4013,0
001130118,0113,0,TINA,10.0,1,0.4013,0,0.8808,1
001130118,0113,4,CAFE,10.0,1,0.5987,1,0.5987,1
001130123,0113,2,WALKING,10.0,1,0.8808,1,0.8808,1
001130123,0113,4,MUSIC,10.0,1,0.4013,0,0.8808,1
001130138,0113,4,DRIVER,10.0,1,0.8808,1,0.8808,1
001140056,0114,2,NOVEMBER,10.0,1,0.7569,1,0.7098,1
001140064,0114,0,PICTURE,10.0,1,0.8808,1,0.8808,1
001140064,0114,2,HOMEWORK,10.0,1,0.8808,1,0.8808,1
001140099,0114,0,SANDY,10.0,1,0.8808,1,0.8808,1
001140100,0114,0,MANDY,10.0,1,0.8808,1,0.8808,1
001140104,0114,0,PETER,10.0,1,0.8808,1,0.8808,1
001140130,0114,0,DORA,10.0,1,0.4013,0,0.4013,0
001140133,0114,0,LISA,10.0,1,0.8808,1,0.8808,1
001140140,0114,0,BILLY,10.0,1,0.8808,1,0.8808,1
001140146,0114,0,LILLY,10.0,1,0.8808,1,0.8808,1
001140146,0114,5,CITY,10.0,1,0.8808,1,0.8808,1
001200015,0120,2,FORTUNATE,10.0,1,0.6338,1,0.6533,1
001200015,0120,6,INTO,10.0,1,0.4013,0,0.4013,0
001200016,0120,3,TRAFFIC,10.0,1,0.4013,0,0.8808,1
001200114,0120,4,PROVIDE,10.0,1,0.8808,1,0.8808,1
001200145,0120,2,GOING,10.0,1,0.8808,1,0.8808,1
001200146,0120,5,MAKING,10.0,1,0.8808,1,0.4013,0
001200146,0120,7,EFFORT,10.0,1,0.8808,1,0.8807,1
001200159,0120,2,LOOKING,10.0,1,0.8808,1,0.4013,0
001200168,0120,0,EASILY,10.0,1,0.6904,1,0.8034,1
001200338,0120,2,SILENCE,10.0,1,0.8808,1,0.8808,1
001220015,0122,2,GOING,10.0,1,0.4013,0,0.4013,0
001220021,0122,2,JAPAN,10.0,1,0.5987,1,0.5987,1
001220068,0122,0,SANDY,10.0,1,0.8808,1,0.8808,1
001220101,0122,2,LISA,5.0,0,0.4013,0,0.4013,0
001220127,0122,2,DRAWING,10.0,1,0.8808,1,0.8808,1
001220129,0122,3,CABBAGE,10.0,1,0.4013,0,0.4013,0
001220166,0122,0,DADDY,10.0,1,0.8808,1,0.8808,1
001330002,0133,0,JAYME,10.0,1,0.8808,1,0.8808,1
001330002,0133,2,YELLOW,10.0,1,0.8808,1,0.8808,1
001330075,0133,0,PETER,10.0,1,0.8808,1,0.8808,1
001330097,0133,0,SANDY,10.0,1,0.8808,1,0.4013,0
001330099,0133,0,PETER,10.0,1,0.8808,1,0.1192,0
001330099,0133,3,WALKING,10.0,1,0.8808,1,0.4013,0
001330099,0133,5,STUDY,10.0,1,0.4013,0,0.4013,0
001330118,0133,0,LUCY,10.0,1,0.8808,1,0.8808,1
001330126,0133,4,CITY,10.0,1,0.8808,1,0.8808,1
001330126,0133,5,SANDY,10.0,1,0.8808,1,0.8808,1
001330128,0133,4,CITY,10.0,1,0.8808,1,0.8808,1
001330128,0133,5,SANDY,10.0,1,0.4013,0,0.4013,0
001330172,0133,2,BELIEVE,10.0,1,0.5987,1,0.5987,1
001490002,0149,0,PITY,10.0,1,0.8808,1,0.4013,0
001490016,0149,4,TIGER,10.0,1,0.8808,1,0.8808,1
001490024,0149,3,JAPAN,10.0,1,0.5987,1,0.5987,1
001490045,0149,0,SANDY,10.0,1,0.8808,1,0.4013,0
001490045,0149,5,CLIMBING,10.0,1,0.8808,1,0.8808,1
001490052,0149,0,TINA,10.0,1,0.8808,1,0.8808,1
001490052,0149,4,RUNNING,10.0,1,0.8808,1,0.4013,0
001490056,0149,0,LILLY,10.0,1,0.8808,1,0.4013,0
001490077,0149,0,LILLY,10.0,1,0.8808,1,0.4013,0
001490080,0149,0,CASEY,10.0,1,0.8808,1,0.8808,1
001490127,0149,0,HENNY,10.0,1,0.8808,1,0.4013,0
001490127,0149,3,SYDNEY,10.0,1,0.8808,1,0.8808,1
001490153,0149,4,PLAYING,10.0,1,0.8808,1,0.4013,0
001490155,0149,1,MOTHER,10.0,1,0.1192,0,0.4013,0
001570030,0157,0,THEREFORE,10.0,1,0.8808,1,0.8808,1
001570030,0157,2,PICTURE,10.0,1,0.4013,0,0.4013,0
001570030,0157,4,RATED,10.0,1,0.4013,0,0.4013,0
001570030,0157,5,ACCEPTABLE,10.0,1,0.6741,1,0.6239,1
001570030,0157,8,SOCIETY,10.0,1,0.7523,1,0.6969,1
001570061,0157,3,WOUNDED,10.0,1,0.4013,0,0.8808,1
001570061,0157,6,ATTACK,10.0,1,0.1192,0,0.1192,0
001570100,0157,4,VERY,10.0,1,0.8808,1,0.8808,1
001570165,0157,0,WANTED,10.0,1,0.4013,0,0.8808,1
001570194,0157,8,ALONE,10.0,1,0.8808,1,0.8808,1
001570203,0157,5,VACATION,10.0,1,0.7986,1,0.7713,1
001570212,0157,6,COMPUTER,10.0,1,0.7764,1,0.7751,1
001570216,0157,3,ALLOWED,10.0,1,0.8808,1,0.8808,1
001570216,0157,6,OPINIONS,10.0,1,0.7672,1,0.7467,1
001570269,0157,3,NEITHER,10.0,1,0.8808,1,0.8808,1
001570269,0157,8,ASHAMED,10.0,1,0.8808,1,0.8808,1
001570290,0157,0,WONDERING,10.0,1,0.5672,1,0.7735,1
001570290,0157,2,MANY,10.0,1,0.8808,1,0.4013,0
001570316,0157,4,AMOUNT,10.0,1,0.8808,1,0.8808,1
001570324,0157,7,THINKING,10.0,1,0.8808,1,0.8808,1
001570325,0157,1,HANDED,10.0,1,0.4013,0,0.4013,0
001570325,0157,6,VERY,10.0,1,0.4013,0,0.8808,1
001570361,0157,0,PRESENTLY,10.0,1,0.3737,0,0.2872,0
001570361,0157,1,HOWEVER,10.0,1,0.354,0,0.3894,0
001570361,0157,4,BROKEN,10.0,1,0.8808,1,0.8808,1
001570378,0157,3,THINKING,10.0,1,0.4013,0,0.4013,0
001570378,0157,5,SOMETHING,10.0,1,0.8808,1,0.8808,1
003060002,0306,6,PRESSURE,10.0,1,0.8808,1,0.8808,1
003060017,0306,4,UNITED,10.0,1,0.2466,0,0.5746,1
003060025,0306,4,RELATIVELY,10.0,1,0.5547,1,0.1159,0
003060025,0306,7,MORNING,10.0,1,0.4013,0,0.8808,1
003060064,0306,7,BETTER,10.0,1,0.4013,0,0.4013,0
003060087,0306,3,ONLY,10.0,1,0.8808,1,0.8808,1
003060161,0306,5,HAPPEN,10.0,1,0.8808,1,0.8808,1
003060186,0306,2,MORNING,10.0,1,0.8808,1,0.8808,1
003060235,0306,0,GETTING,10.0,1,0.8808,1,0.4013,0
003060235,0306,1,READY,10.0,1,0.8808,1,0.8808,1
003060285,0306,2,ANOTHER,10.0,1,0.6002,1,0.5557,1
003060285,0306,6,ABOUT,10.0,1,0.8808,1,0.8808,1
003060291,0306,5,MATTER,10.0,1,0.4013,0,0.8808,1
003060319,0306,2,INTO,10.0,1,0.1192,0,0.8808,1
003060337,0306,1,CONTROLLED,5.0,0,0.1192,0,0.8808,1
003060337,0306,2,HIMSELF,10.0,1,0.5987,1,0.5987,1
003060337,0306,5,EFFORT,10.0,1,0.8808,1,0.8808,1
004570010,0457,3,ONLY,10.0,1,0.8808,1,0.4013,0
004570129,0457,3,OPEN,10.0,1,0.5987,1,0.1192,0
004570137,0457,4,ABOUT,10.0,1,0.8808,1,0.8808,1
004570146,0457,0,CREATE,10.0,1,0.4013,0,0.1192,0
004570146,0457,3,HAPPY,10.0,1,0.4013,0,0.4013,0
004570167,0457,0,ABOUT,10.0,1,0.8808,1,0.8808,1
004570237,0457,2,LOOKING,10.0,1,0.4013,0,0.4013,0
004570237,0457,6,MYSELF,10.0,1,0.5987,1,0.5987,1
004570268,0457,2,HUMAN,10.0,1,0.8808,1,0.8808,1
004570268,0457,3,BEING,10.0,1,0.8808,1,0.4013,0
004570374,0457,5,AGAIN,10.0,1,0.5987,1,0.8808,1
004610037,0461,3,STORY,10.0,1,0.8808,1,0.8808,1
004610054,0461,2,VERY,10.0,1,0.4013,0,0.8808,1
004610054,0461,3,VERY,10.0,1,0.8808,1,0.8808,1
004610065,0461,0,NATIONALLY,10.0,1,0.7686,1,0.3328,0
004610065,0461,5,BEGINNING,10.0,1,0.4668,1,0.473,1
004610129,0461,0,WORRY,10.0,1,0.4013,0,0.4013,0
004610177,0461,1,GOING,10.0,1,0.8808,1,0.8808,1
004610177,0461,5,BUSY,10.0,1,0.4013,0,0.4013,0
004610182,0461,5,MYSELF,10.0,1,0.5987,1,0.5987,1
004610227,0461,2,PERFECT,5.0,0,0.8808,1,0.4013,0
004610227,0461,3,ENDING,10.0,1,0.1192,0,0.1192,0
004610230,0461,0,LOVING,10.0,1,0.8808,1,0.4013,0
004610238,0461,0,DEPENDS,10.0,1,0.5987,1,0.8808,1
004610238,0461,3,NUMBER,10.0,1,0.4013,0,0.8808,1
004610290,0461,4,DIVISION,10.0,1,0.7848,1,0.4229,0
004610362,0461,1,BEING,10.0,1,0.8808,1,0.1192,0
004610362,0461,6,MONEY,10.0,1,0.8808,1,0.8808,1
005630017,0563,5,HIGHLY,10.0,1,0.4013,0,0.4013,0
005630044,0563,0,HOWEVER,10.0,1,0.7479,1,0.7999,1
005630044,0563,4,LEGALLY,10.0,1,0.7058,1,0.7102,1
005630081,0563,7,TALKING,10.0,1,0.8808,1,0.8808,1
005630081,0563,8,ABOUT,10.0,1,0.8808,1,0.8808,1
005630127,0563,8,WINNER,10.0,1,0.4013,0,0.4013,0
005630142,0563,0,AUSTRALIA,10.0,1,0.8018,1,0.8009,1
005630151,0563,2,HIMSELF,10.0,1,0.5987,1,0.1192,0
005630151,0563,6,OTHERS,10.0,1,0.8808,1,0.8808,1
005630267,0563,0,COFFEE,10.0,1,0.8808,1,0.8808,1
005630284,0563,0,LOOKING,10.0,1,0.8808,1,0.4013,0
005630284,0563,3,GETTING,10.0,1,0.8808,1,0.4013,0
005630291,0563,6,MONEY,10.0,1,0.4013,0,0.8808,1
005630315,0563,1,NOWADAYS,10.0,1,0.5443,1,0.4282,1
005630315,0563,9,THEMSELVES,10.0,1,0.8808,1,0.5987,1
005630330,0563,5,NOTHING,10.0,1,0.8808,1,0.8808,1
005630375,0563,2,ALMOST,10.0,1,0.1192,0,0.1192,0
005670043,0567,4,EXPECT,10.0,1,0.8808,1,0.8808,1
005670055,0567,2,SCREAMING,10.0,1,0.8808,1,0.8808,1
005670055,0567,4,SHOUTING,10.0,1,0.8808,1,0.8808,1
005670113,0567,1,WONDER,10.0,1,0.4013,0,0.8808,1
005670125,0567,0,UNLUCKY,10.0,1,0.0763,0,0.1921,0
005670125,0567,6,BETTER,10.0,1,0.4013,0,0.4013,0
005670147,0567,0,BELIEF,10.0,1,0.5987,1,0.8808,1
005670155,0567,5,MILITARY,5.0,0,0.6468,1,0.4679,1
005670160,0567,0,BECAUSE,10.0,1,0.5987,1,0.5987,1
005670282,0567,8,FINISH,10.0,1,0.8808,1,0.8808,1
005670310,0567,4,DOING,10.0,1,0.8808,1,0.5987,1
005670320,0567,5,OFFICIAL,5.0,0,0.3581,0,0.313,0
005670356,0567,5,AMONG,10.0,1,0.4013,0,0.8808,1
007360004,0736,7,AGAIN,10.0,1,0.5987,1,0.5987,1
007360006,0736,2,BEING,10.0,1,0.4013,0,0.1192,0
007360006,0736,3,HIMSELF,10.0,1,0.1192,0,0.5987,1
007360055,0736,2,FORWARD,10.0,1,0.4013,0,0.8808,1
007360055,0736,4,HAVING,10.0,1,0.4013,0,0.4013,0
007360196,0736,4,ALREADY,10.0,1,0.2616,0,0.2839,0
007360205,0736,2,GOING,10.0,1,0.8808,1,0.4013,0
007360212,0736,5,PRINCIPLE,10.0,1,0.7954,1,0.8051,1
007360250,0736,5,PICTURE,10.0,1,0.4013,0,0.4013,0
007360296,0736,7,TOGETHER,10.0,1,0.512,1,0.399,0
007360305,0736,4,MAGICAL,10.0,1,0.637,1,0.6603,1
007650036,0765,0,HOWEVER,10.0,1,0.52,1,0.6808,1
007650036,0765,1,MARKET,10.0,1,0.8808,1,0.8808,1
007650036,0765,2,CONDITIONS,10.0,1,0.4533,1,0.2595,0
007650036,0765,8,OTHER,10.0,1,0.4013,0,0.1192,0
007650061,0765,3,VOTED,10.0,1,0.8808,1,0.4013,0
007650061,0765,6,MEASURE,10.0,1,0.8808,1,0.8808,1
007650076,0765,4,DESIRE,10.0,1,0.753,1,0.7826,1
007650076,0765,7,ANOTHER,10.0,1,0.4847,1,0.4367,0
007650076,0765,8,OPINION,10.0,1,0.0781,0,0.6266,1
007650078,0765,2,LATER,10.0,1,0.4013,0,0.4013,0
007650084,0765,0,DEFINE,10.0,1,0.5987,1,0.8808,1
007650084,0765,6,SITUATION,10.0,1,0.1194,0,0.1335,0
007650089,0765,3,EXPECTED,10.0,1,0.6288,1,0.5121,1
007650116,0765,0,MONEY,10.0,1,0.8808,1,0.8808,1
007650116,0765,5,SUCCESS,10.0,1,0.5987,1,0.5987,1
007650131,0765,1,LEARNED,10.0,1,0.8808,1,0.8808,1
007650174,0765,0,MISSING,10.0,1,0.4013,0,0.4013,0
007650174,0765,5,EASY,10.0,1,0.8808,1,0.8808,1
007650192,0765,5,PARTY,10.0,1,0.8808,1,0.8808,1
007650197,0765,3,GOING,10.0,1,0.8808,1,0.8808,1
007650254,0765,0,EVERYTHING,10.0,1,0.426,0,0.774,1
007650346,0765,0,HOLDING,10.0,1,0.4013,0,0.4013,0
007650369,0765,7,TRIAL,10.0,1,0.8808,1,0.8808,1
008110049,0811,3,PUBLIC,10.0,1,0.4013,0,0.4013,0
008110049,0811,5,BEING,10.0,1,0.8808,1,0.1192,0
008110110,0811,4,ABOUT,10.0,1,0.8808,1,0.8808,1
008110110,0811,7,EVERY,10.0,1,0.8808,1,0.8808,1
008110110,0811,9,KILLINGS,10.0,1,0.8808,1,0.8808,1
008110116,0811,2,NOTHING,10.0,1,0.8808,1,0.8808,1
008110116,0811,5,MAGIC,10.0,1,0.4013,0,0.8808,1
008110159,0811,6,ANY,10.0,1,0.4013,0,0.4013,0
008110159,0811,8,QUESTIONS,10.0,1,0.8808,1,0.8808,1
008110204,0811,6,INSIDE,10.0,1,0.8808,1,0.8808,1
008110209,0811,2,POLICE,10.0,1,0.5987,1,0.5987,1
008110224,0811,0,WELCOME,10.0,1,0.8808,1,0.4013,0
008110258,0811,2,COVER,10.0,1,0.4013,0,0.8808,1
008110286,0811,0,EVERYTHING,10.0,1,0.1682,0,0.7667,1
008110286,0811,2,STARTING,10.0,1,0.8808,1,0.8808,1
008110286,0811,5,INTO,10.0,1,0.4013,0,0.8808,1
008110287,0811,6,DECISION,10.0,1,0.5382,1,0.6335,1
008110340,0811,4,STRIKING,10.0,1,0.8808,1,0.8808,1
008110371,0811,2,ONLY,10.0,1,0.8808,1,0.8808,1
009810029,0981,0,HUMAN,10.0,1,0.8808,1,0.8808,1
009810029,0981,3,ALSO,10.0,1,0.4013,0,0.8808,1
009810029,0981,6,FACTOR,10.0,1,0.8808,1,0.8808,1
009810075,0981,3,GOING,10.0,1,0.8808,1,0.8808,1
009810075,0981,7,VERY,10.0,1,0.4013,0,0.8808,1
009810075,0981,8,PHYSICAL,10.0,1,0.3778,1,0.4245,1
009810106,0981,3,ANY,10.0,1,0.4013,0,0.8808,1
009810155,0981,6,ENOUGH,10.0,1,0.5987,1,0.5987,1
009810249,0981,0,SOMETIMES,10.0,1,0.1192,0,0.1192,0
009810305,0981,2,GOING,10.0,1,0.8808,1,0.8808,1
010300003,1030,4,UPSET,10.0,1,0.1192,0,0.1192,0
010300105,1030,1,PAPER,10.0,1,0.4013,0,0.4013,0
010300105,1030,2,PUBLISHED,10.0,1,0.8808,1,0.8808,1
010300105,1030,9,ATTACK,10.0,1,0.1192,0,0.4013,0
010300123,1030,2,NEVER,10.0,1,0.8808,1,0.8808,1
010300153,1030,0,REALITY,10.0,1,0.381,0,0.6871,1
010300153,1030,3,LEADING,10.0,1,0.8808,1,0.5987,1
010300157,1030,6,TRADITIONS,10.0,1,0.752,1,0.7201,1
010300159,1030,4,FAILURE,10.0,1,0.8808,1,0.8808,1
010300216,1030,8,SUPPORTING,10.0,1,0.1844,0,0.2579,0
010300275,1030,3,GOING,10.0,1,0.8808,1,0.8808,1
010300298,1030,5,BROTHER,10.0,1,0.4013,0,0.4013,0
010300316,1030,4,NUMBER,10.0,1,0.4013,0,0.4013,0
010300316,1030,7,EVER,10.0,1,0.8808,1,0.8808,1
010300316,1030,9,ANYTHING,10.0,1,0.479,1,0.8035,1
010300325,1030,1,TWENTY,10.0,1,0.4013,0,0.4013,0
010300325,1030,5,NOTHING,10.0,1,0.8808,1,0.8808,1
010300328,1030,3,INTO,10.0,1,0.4013,0,0.4013,0
010370025,1037,3,LOOKING,10.0,1,0.4013,0,0.4013,0
010370025,1037,6,SOMETHING,10.0,1,0.8808,1,0.4013,0
010370025,1037,7,BETTER,10.0,1,0.8808,1,0.8808,1
010370099,1037,4,ANSWERS,10.0,1,0.8808,1,0.8808,1
010370099,1037,7,QUESTIONS,10.0,1,0.4013,0,0.4013,0
010370140,1037,2,ALSO,10.0,1,0.8808,1,0.8808,1
010370140,1037,7,CONTRIBUTE,10.0,1,0.5741,1,0.322,0
010370204,1037,0,HOPING,10.0,1,0.8808,1,0.8808,1
010370204,1037,4,CAMPAIGN,10.0,1,0.8808,1,0.8808,1
010370216,1037,4,MASTERS,10.0,1,0.4013,0,0.8808,1
010370232,1037,1,NOTHING,10.0,1,0.8808,1,0.8808,1
010370246,1037,1,EARLY,10.0,1,0.8808,1,0.8808,1
010370251,1037,0,NOTHING,10.0,1,0.8808,1,0.4013,0
010370265,1037,3,AWAY,10.0,1,0.1192,0,0.1192,0
010370290,1037,8,FINALLY,10.0,1,0.5098,1,0.487,1
010370309,1037,3,GOING,10.0,1,0.8808,1,0.8808,1
010370352,1037,6,IGNORE,10.0,1,0.8808,1,0.8808,1
010390004,1039,5,ABOUT,10.0,1,0.8808,1,0.8808,1
010390004,1039,8,BUSINESS,10.0,1,0.4013,0,0.8808,1
010390027,1039,3,INTEREST,10.0,1,0.5987,1,0.5987,1
010390027,1039,6,PUBLIC,10.0,1,0.8808,1,0.4013,0
010390027,1039,7,INTEREST,10.0,1,0.1192,0,0.1192,0
010390170,1039,0,EASILY,10.0,1,0.7837,1,0.8016,1
010390216,1039,4,CONCERT,10.0,1,0.8808,1,0.8808,1
010390244,1039,7,SUMMER,10.0,1,0.8808,1,0.8808,1
010390269,1039,4,SHARING,10.0,1,0.8808,1,0.8808,1
010390285,1039,5,EXPRESS,10.0,1,0.4013,0,0.8808,1
010390303,1039,4,PIECES,10.0,1,0.8808,1,0.8808,1
010390366,1039,7,PASSIVE,10.0,1,0.4013,0,0.8808,1
010390366,1039,9,RESIGNED,10.0,1,0.8808,1,0.8808,1
010460017,1046,2,AWAY,10.0,1,0.1192,0,0.4013,0
010460020,1046,0,PETER,10.0,1,0.8808,1,0.8808,1
010460020,1046,4,PANDA,10.0,1,0.8808,1,0.8808,1
010460053,1046,3,SKATING,10.0,1,0.5987,1,0.8808,1
010460061,1046,0,LUCY,10.0,1,0.4013,0,0.4013,0
010460088,1046,0,LUCY,10.0,1,0.8808,1,0.4013,0
010460111,1046,0,BILLY,10.0,1,0.8808,1,0.8808,1
010460111,1046,2,WALKING,10.0,1,0.4013,0,0.8808,1
010460120,1046,0,TINA,10.0,1,0.4013,0,0.4013,0
010460153,1046,0,RELIES,10.0,1,0.5987,1,0.8808,1
010500012,1050,0,JAYME,10.0,1,0.8808,1,0.8808,1
010500058,1050,0,MANDY,10.0,1,0.8808,1,0.4013,0
010500058,1050,2,TOFU,10.0,1,0.5987,1,0.5987,1
010500090,1050,2,JAYME'S,10.0,1,0.4013,0,0.4013,0
010500100,1050,3,TAXI,10.0,1,0.8808,1,0.8808,1
010500108,1050,0,MANDY,10.0,1,0.8808,1,0.8808,1
010500113,1050,1,TINA,10.0,1,0.4013,0,0.4013,0
010500131,1050,0,CASEY,10.0,1,0.8808,1,0.4013,0
010500147,1050,3,TONY,10.0,1,0.8808,1,0.8808,1
010500149,1050,0,ENDING,10.0,1,0.4013,0,0.4013,0
010500149,1050,5,GOING,10.0,1,0.8808,1,0.8808,1
010610015,1061,0,BILLY,10.0,1,0.8808,1,0.4013,0
010610015,1061,4,TURKEY,10.0,1,0.4013,0,0.4013,0
010610024,1061,0,TEDDY,10.0,1,0.8808,1,0.8808,1
010610024,1061,3,CANADA,10.0,1,0.7791,1,0.6071,1
010610025,1061,0,LILLY,10.0,1,0.8808,1,0.8808,1
010610025,1061,2,CHINA,10.0,1,0.8808,1,0.8808,1
