phone_index,phone,human_grade,ctc_viterbi_lpp,mfa_lpp,ctc_viterbi_start,ctc_viterbi_end,mfa_start,mfa_end,split,utterance,speaker
3,F,2.0,-0.001245018094778061,-8.58863639831543,0.9655272727272728,1.0057575757575759,0.89,1.01,train,000010063,0001
4,AH,1.8,-8.299125671386719,-12.687671661376953,1.1063333333333334,1.1264484848484848,1.01,1.07,train,000010063,0001
5,N,2.0,-0.010049144737422466,-7.743177890777588,1.1264484848484848,1.1666787878787879,1.07,1.2,train,000010063,0001
6,T,2.0,-9.408331871032715,-10.67020320892334,1.2270242424242426,1.247139393939394,1.2,1.24,train,000010063,0001
7,S,2.0,-0.0011256556026637554,-10.644527435302734,1.247139393939394,1.2672545454545456,1.24,1.41,train,000010063,0001
8,T,2.0,-0.0011980506824329495,-9.83173656463623,1.6896727272727274,1.7097878787878789,1.66,1.78,train,000010063,0001
9,AY,2.0,-0.043856438249349594,-10.710768699645996,1.9310545454545456,1.9914,1.78,2.16,train,000010063,0001
10,G,2.0,-0.0015668508131057024,-8.635859489440918,2.373587878787879,2.3937030303030307,2.34,2.41,train,000010063,0001
11,UW,2.0,-0.0017479868838563561,-11.259105682373047,2.5345090909090913,2.5546242424242425,2.41,2.64,train,000010063,0001
12,S,2.0,-0.13057540357112885,-9.440085411071777,2.675315151515152,2.7356606060606063,2.64,2.91,train,000010063,0001
0,T,2.0,-0.0014580582501366735,-8.195354461669922,0.602,0.6220666666666667,0.58,0.67,train,000010069,0001
1,AA,2.0,-1.8969184160232544,-10.366856575012207,0.8026666666666666,0.8227333333333333,0.67,0.84,train,000010069,0001
2,M,2.0,-0.0016778332646936178,-8.538142204284668,0.8628666666666667,0.903,0.84,0.99,train,000010069,0001
3,G,2.0,-0.0018304779659956694,-8.834088325500488,1.0635333333333334,1.1036666666666666,0.99,1.11,train,000010069,0001
4,IH,2.0,-0.0016763457097113132,-9.832371711730957,1.204,1.2240666666666666,1.11,1.24,train,000010069,0001
5,V,2.0,-0.1870090365409851,-13.218765258789062,1.2842666666666667,1.3043333333333333,1.24,1.27,train,000010069,0001
6,Z,1.8,-8.154391288757324,-10.534372329711914,1.4046666666666667,1.4247333333333334,1.27,1.43,train,000010069,0001
7,AH,2.0,-0.40665316581726074,-8.45966625213623,1.4448,1.4648666666666668,1.43,1.62,train,000010069,0001
8,P,2.0,-8.997586250305176,-10.697220802307129,1.5852666666666666,1.6053333333333333,1.62,1.82,train,000010069,0001
9,B,2.0,-0.001495791831985116,-4.420090198516846,1.8461333333333334,1.8662,1.82,1.87,train,000010069,0001
10,AA,2.0,-9.620059967041016,-11.387947082519531,1.9063333333333334,1.9264000000000001,1.87,1.94,train,000010069,0001
11,K,2.0,-5.040671348571777,-8.626450538635254,2.006666666666667,2.0267333333333335,1.94,2.03,train,000010069,0001
12,S,2.0,-0.0016402928158640862,-8.900747299194336,2.0468,2.0869333333333335,2.03,2.16,train,000010069,0001
13,IH,2.0,-2.2303402423858643,-11.294381141662598,2.2474666666666665,2.267533333333333,2.16,2.25,train,000010069,0001
14,NG,2.0,-0.1408306509256363,-11.305678367614746,2.267533333333333,2.3076666666666665,2.25,2.51,train,000010069,0001
0,HH,2.0,-0.0189750287681818,-6.154904365539551,0.6625581395348836,0.7027131782945736,0.57,0.72,train,000010075,0001
1,IY,1.8,-0.7588167786598206,-5.665467262268066,0.8231782945736433,0.8432558139534883,0.72,0.91,train,000010075,0001
2,HH,2.0,-0.0025005387142300606,-7.133793354034424,1.003875968992248,1.044031007751938,0.91,1.04,train,000010075,0001
3,EY,2.0,-0.5137539505958557,-9.622647285461426,1.1243410852713178,1.1444186046511626,1.04,1.2,train,000010075,0001
4,T,2.0,-0.24943026900291443,-6.387578010559082,1.2849612403100774,1.3050387596899224,1.2,1.3,train,000010075,0001
5,S,2.0,-0.03554584085941315,-7.206825256347656,1.3050387596899224,1.3251162790697673,1.3,1.38,train,000010075,0001
6,SH,2.0,-0.06264762580394745,-8.431421279907227,1.4255038759689922,1.485736434108527,1.38,1.59,train,000010075,0001
7,UW,2.0,-0.0028145008254796267,-8.199470520019531,1.6865116279069765,1.7065891472868215,1.59,1.75,train,000010075,0001
8,T,2.0,-1.351351022720337,-8.088852882385254,1.7868992248062014,1.8069767441860463,1.75,1.85,train,000010075,0001
9,IH,2.0,-0.015556417405605316,-7.698173522949219,1.927441860465116,1.947519379844961,1.85,1.94,train,000010075,0001
10,NG,2.0,-7.567812442779541,-11.469841003417969,1.967596899224806,1.987674418604651,1.94,2.08,train,000010075,0001
0,M,2.0,-0.29147905111312866,-3.1892290115356445,0.5837908496732026,0.6240522875816994,0.58,0.65,train,000010089,0001
1,AE,2.0,-0.002360773738473654,-11.110452651977539,0.7850980392156863,0.8052287581699347,0.65,0.82,train,000010089,0001
2,N,2.0,-0.0010571801103651524,-4.467830181121826,0.825359477124183,0.8656209150326798,0.82,0.91,train,000010089,0001
3,D,2.0,-0.0011990031925961375,-6.158065319061279,0.9260130718954249,0.9461437908496733,0.91,0.95,train,000010089,0001
4,IY,2.0,-0.0017552459612488747,-10.80486011505127,1.0669281045751635,1.0870588235294119,0.95,1.16,train,000010089,0001
5,HH,2.0,-0.0012095982674509287,-7.233893394470215,1.2682352941176471,1.3084967320261438,1.16,1.32,train,000010089,0001
6,AE,2.0,-0.009280872531235218,-10.637543678283691,1.3890196078431374,1.4091503267973857,1.32,1.45,train,000010089,0001
7,Z,2.0,-0.002222212729975581,-8.306211471557617,1.4695424836601307,1.489673202614379,1.45,1.53,train,000010089,0001
9,B,2.0,-0.0015923145692795515,-11.423985481262207,1.7312418300653596,1.7715032679738563,1.63,1.75,train,000010089,0001
10,IH,2.0,-0.002166663995012641,-9.994664192199707,1.8520261437908498,1.8721568627450982,1.75,1.89,train,000010089,0001
11,G,2.0,-0.016151301562786102,-9.5177583694458,1.9728104575163399,1.9929411764705882,1.89,2.02,train,000010089,0001
12,AA,2.0,-3.4050300121307373,-12.700592994689941,2.2949019607843137,2.3150326797385623,2.06,2.12,train,000010089,0001
13,R,1.6,-9.292256355285645,-11.849641799926758,2.3150326797385623,2.3351633986928104,2.12,2.37,train,000010089,0001
14,M,2.0,-0.6442710161209106,-11.965775489807129,2.375424836601307,2.415686274509804,2.37,2.87,train,000010089,0001
0,L,2.0,-0.0020778588950634003,-6.752799987792969,0.7625675675675676,0.8027027027027027,0.72,0.82,train,000010095,0001
1,UH,2.0,-0.049862202256917953,-7.5368523597717285,0.8629054054054054,0.882972972972973,0.82,0.89,train,000010095,0001
2,K,2.0,-0.0010578965302556753,-8.674814224243164,0.9632432432432432,1.0033783783783783,0.89,1.02,train,000010095,0001
3,AE,2.0,-0.08352919667959213,-10.969122886657715,1.1438513513513513,1.163918918918919,1.02,1.2,train,000010095,0001
4,T,2.0,-0.009847975336015224,-9.69454288482666,1.2441891891891892,1.2843243243243243,1.2,1.4,train,000010095,0001
5,AE,2.0,-0.0023974028881639242,-10.899088859558105,1.5853378378378378,1.6054054054054054,1.4,1.69,train,000010095,0001
6,N,2.0,-0.006090190727263689,-7.938249111175537,1.6455405405405406,1.7057432432432431,1.69,1.78,train,000010095,0001
7,Z,1.4,-0.0035746502690017223,-9.285746574401855,1.8261486486486487,1.8462162162162161,1.78,1.92,train,000010095,0001
8,P,2.0,-0.0014889473095536232,-9.960588455200195,2.0067567567567566,2.046891891891892,1.92,2.08,train,000010095,0001
9,AE,2.0,-7.495790004730225,-11.9408540725708,2.2074324324324324,2.2275,2.08,2.24,train,000010095,0001
10,N,2.0,-0.005510326940566301,-4.094874382019043,2.2475675675675677,2.3077702702702703,2.24,2.34,train,000010095,0001
11,T,1.8,-6.471604347229004,-7.886796474456787,2.3880405405405405,2.408108108108108,2.34,2.4,train,000010095,0001
12,S,1.8,-0.2008097916841507,-10.220766067504883,2.408108108108108,2.448243243243243,2.4,2.61,train,000010095,0001
0,W,2.0,-0.001352149061858654,-0.001352149061858654,0.5827358490566037,0.6229245283018867,0.59,0.62,train,000010106,0001
1,AH,1.8,-0.0045929416082799435,-4.012613773345947,0.6229245283018867,0.6430188679245282,0.62,0.66,train,000010106,0001
2,T,2.0,-0.010275674052536488,-9.589533805847168,0.7233962264150943,0.7434905660377358,0.66,0.76,train,000010106,0001
3,AH,2.0,-4.747620105743408,-9.620132446289062,0.7836792452830188,0.8037735849056603,0.76,0.82,train,000010106,0001
4,B,2.0,-0.007809251081198454,-8.831513404846191,0.9042452830188679,0.9444339622641509,0.82,0.94,train,000010106,0001
5,AW,2.0,-2.825049638748169,-9.26220989227295,1.024811320754717,1.0449056603773583,0.94,1.08,train,000010106,0001
6,T,2.0,-7.894731044769287,-10.40661907196045,1.065,1.0850943396226413,1.08,1.12,train,000010106,0001
7,DH,2.0,-7.589310646057129,-11.28726577758789,1.105188679245283,1.1252830188679244,1.12,1.15,train,000010106,0001
8,AH,2.0,-0.2642066180706024,-9.040641784667969,1.185566037735849,1.2056603773584904,1.15,1.22,train,000010106,0001
9,B,2.0,-0.0019190958701074123,-8.689245223999023,1.3061320754716979,1.3262264150943395,1.22,1.32,train,000010106,0001
10,AH,2.0,-1.0031994581222534,-9.77451229095459,1.46688679245283,1.507075471698113,1.32,1.55,train,000010106,0001
11,S,2.0,-0.03684260696172714,-10.136862754821777,1.587452830188679,1.627641509433962,1.55,1.83,train,000010106,0001
0,DH,2.0,-9.987264633178711,-11.68094253540039,0.6245771812080536,0.6447248322147651,0.59,0.7,train,000010113,0001
1,EH,2.0,-0.006751463748514652,-10.0862455368042,0.8260536912751677,0.8462013422818792,0.7,0.95,train,000010113,0001
2,N,2.0,-4.248928070068359,-8.65569019317627,1.0073825503355704,1.0275302013422818,0.95,1.07,train,000010113,0001
3,HH,1.0,-0.06230974569916725,-5.064491271972656,1.1887114093959732,1.2088590604026845,1.12,1.21,train,000010113,0001
4,IY,2.0,-0.7354762554168701,-10.100848197937012,1.2491543624161072,1.2693020134228188,1.21,1.3,train,000010113,0001
5,W,2.0,-0.0010414659045636654,-7.9299635887146,1.3498926174496644,1.3700402684563757,1.3,1.38,train,000010113,0001
6,EH,2.0,-0.0023859862703830004,-10.563236236572266,1.4707785234899329,1.4909261744966442,1.38,1.5,train,000010113,0001
7,N,2.0,-0.04810979217290878,-5.747565746307373,1.5110738255033556,1.5513691275167785,1.5,1.58,train,000010113,0001
8,T,2.0,-2.463487148284912,-12.430667877197266,1.6118120805369127,1.631959731543624,1.58,1.62,train,000010113,0001
9,T,2.0,-9.091263771057129,-9.953766822814941,1.7326979865771812,1.7528456375838926,1.62,1.69,train,000010113,0001
10,UW,2.0,-0.0016191004542633891,-6.148682594299316,1.7528456375838926,1.772993288590604,1.69,1.84,train,000010113,0001
11,TH,1.2,-9.438678741455078,-12.934043884277344,1.873731543624161,1.8938791946308724,1.84,1.91,train,000010113,0001
12,IY,0.0,-7.732905864715576,-12.791183471679688,2.0550604026845636,2.075208053691275,1.91,2.08,train,000010113,0001
13,M,1.6,-0.3975692093372345,-8.91821575164795,2.0953557046979863,2.115503355704698,2.08,2.18,train,000010113,0001
14,P,2.0,-0.0038395035080611706,-10.677227020263672,2.236389261744966,2.256536912751678,2.18,2.29,train,000010113,0001
15,AA,2.0,-4.223600387573242,-12.908756256103516,2.3774228187919464,2.3975704697986577,2.29,2.35,train,000010113,0001
16,R,1.8,-11.064506530761719,-10.843605041503906,2.4983087248322144,2.5184563758389262,2.35,2.41,train,000010113,0001
17,K,2.0,-0.0011263700434938073,-9.662333488464355,2.5386040268456376,2.558751677852349,2.41,2.62,train,000010113,0001
0,DH,2.0,-8.401683807373047,-10.210168838500977,0.6018181818181818,0.6218787878787878,0.63,0.67,train,000010121,0001
1,EH,2.0,-0.4499719440937042,-10.754590034484863,0.8425454545454545,0.8626060606060606,0.67,0.89,train,000010121,0001
2,N,2.0,-8.38739013671875,-10.766827583312988,0.9027272727272727,0.9428484848484848,0.89,1.13,train,000010121,0001
3,M,2.0,-0.014129959978163242,-3.236967086791992,1.1635151515151514,1.2236969696969697,1.17,1.24,train,000010121,0001
4,AY,2.0,-0.056276001036167145,-9.55486011505127,1.324,1.364121212121212,1.24,1.4,train,000010121,0001
5,K,2.0,-0.07576213777065277,-8.971429824829102,1.5045454545454544,1.5446666666666666,1.4,1.6,train,000010121,0001
6,W,2.0,-4.576808452606201,-5.91292667388916,1.6048484848484847,1.6249090909090909,1.6,1.64,train,000010121,0001
7,AA,1.8,-0.11001952737569809,-7.173027992248535,1.705151515151515,1.7252121212121212,1.64,1.75,train,000010121,0001
8,K,2.0,-0.0013668728061020374,-6.570429801940918,1.8054545454545454,1.8255151515151515,1.75,1.83,train,000010121,0001
9,S,2.0,-0.0007920703501440585,-9.222956657409668,1.8455757575757574,1.8656363636363635,1.83,1.94,train,000010121,0001
10,T,2.0,-0.0014814671594649553,-4.144069194793701,1.9659393939393939,2.006060606060606,1.94,2.01,train,000010121,0001
11,UW,2.0,-0.0028826133348047733,-8.298823356628418,2.046181818181818,2.066242424242424,2.01,2.07,train,000010121,0001
12,K,2.0,-0.0009433348895981908,-10.840551376342773,2.146484848484848,2.1665454545454543,2.07,2.23,train,000010121,0001
13,AA,1.2,-6.705650329589844,-10.459908485412598,2.306969696969697,2.327030303030303,2.23,2.37,train,000010121,0001
14,F,1.6,-0.030193623155355453,-4.925515174865723,2.5075757575757573,2.5276363636363635,2.37,2.54,train,000010121,0001
15,IY,1.6,-0.01000605896115303,-10.791226387023926,2.627939393939394,2.668060606060606,2.54,2.79,train,000010121,0001
0,S,2.0,-0.0029828124679625034,-10.58115291595459,0.5834117647058823,0.6035294117647059,0.53,0.65,train,000010122,0001
1,OW,2.0,-0.8288788795471191,-11.145586013793945,0.7041176470588235,0.724235294117647,0.65,0.75,train,000010122,0001
2,M,2.0,-0.0007916534086689353,-7.872239589691162,0.7644705882352941,0.8047058823529412,0.75,0.84,train,000010122,0001
4,R,2.0,-0.11088526248931885,-4.31928825378418,1.026,1.0863529411764705,1.0,1.11,train,000010122,0001
6,W,2.0,-0.00088753632735461,-5.342194080352783,1.4685882352941175,1.5088235294117647,1.42,1.51,train,000010122,0001
7,EH,2.0,-0.17701075971126556,-10.18756103515625,1.5691764705882352,1.5892941176470587,1.51,1.59,train,000010122,0001
8,N,2.0,-0.11727938055992126,-5.727226257324219,1.6094117647058823,1.6496470588235292,1.59,1.66,train,000010122,0001
9,T,2.0,-0.0014801985817030072,-9.521368980407715,1.6898823529411764,1.71,1.66,1.78,train,000010122,0001
10,AA,2.0,-0.006941177882254124,-10.257024765014648,1.870941176470588,1.9111764705882353,1.78,1.9,train,000010122,0001
11,N,2.0,-0.000922015926335007,-6.462895393371582,1.9111764705882353,1.9514117647058822,1.9,2.0,train,000010122,0001
12,T,2.0,-0.0012868703342974186,-9.40970230102539,2.0318823529411763,2.052,2.0,2.07,train,000010122,0001
14,S,2.0,-0.0009109399979934096,-5.424123287200928,2.1928235294117644,2.212941176470588,2.16,2.21,train,000010122,0001
15,T,2.0,-0.002876432379707694,-10.245207786560059,2.313529411764706,2.333647058823529,2.21,2.34,train,000010122,0001
16,AH,1.8,-0.015389744192361832,-9.78524112701416,2.4945882352941173,2.5348235294117645,2.34,2.56,train,000010122,0001
17,D,2.0,-0.0016434985445812345,-8.709515571594238,2.6152941176470588,2.635411764705882,2.56,2.64,train,000010122,0001
18,IY,2.0,-0.08887797594070435,-11.033889770507812,2.7561176470588236,2.7963529411764703,2.64,2.91,train,000010122,0001
0,K,2.0,-0.0018922374583780766,-6.55974006652832,0.6041958041958042,0.6444755244755245,0.59,0.66,train,000010133,0001
2,T,1.8,-8.232063293457031,-11.577689170837402,1.0875524475524476,1.1076923076923078,0.79,1.07,train,000010133,0001
3,G,2.0,-0.0031314881052821875,-5.140674114227295,1.1076923076923078,1.1278321678321679,1.07,1.13,train,000010133,0001
4,AA,1.6,-7.561425685882568,-11.977545738220215,1.2083916083916084,1.2285314685314686,1.13,1.25,train,000010133,0001
5,T,2.0,-9.748737335205078,-12.642354965209961,1.3493706293706293,1.3695104895104895,1.25,1.35,train,000010133,0001
6,DH,2.0,-8.054638862609863,-8.859550476074219,1.3695104895104895,1.3896503496503496,1.35,1.4,train,000010133,0001
7,AH,2.0,-3.4111013412475586,-10.911240577697754,1.4903496503496503,1.5104895104895104,1.4,1.55,train,000010133,0001
8,T,2.0,-0.001404609763994813,-10.713958740234375,1.6716083916083917,1.6917482517482518,1.55,1.71,train,000010133,0001
9,AH,2.0,-5.023042678833008,-9.308537483215332,1.732027972027972,1.7521678321678322,1.71,1.74,train,000010133,0001
10,M,2.0,-0.0025043233763426542,-5.521456241607666,1.7521678321678322,1.7924475524475525,1.74,1.82,train,000010133,0001
11,EY,1.0,-9.656774520874023,-12.295845985412598,1.9535664335664336,1.9737062937062937,1.82,2.04,train,000010133,0001
12,T,1.8,-9.363277435302734,-10.73052978515625,2.0744055944055946,2.0945454545454547,2.04,2.15,train,000010133,0001
13,OW,2.0,-0.19740046560764313,-10.24444580078125,2.2556643356643358,2.275804195804196,2.15,2.39,train,000010133,0001
0,T,2.0,-0.0012641304638236761,-9.352951049804688,0.56385,0.5839875,0.55,0.62,train,000010135,0001
1,IY,2.0,-0.0077946786768734455,-11.50649642944336,0.6846749999999999,0.7048125,0.62,1.08,train,000010135,0001
2,N,2.0,-0.004722687415778637,-5.455626487731934,0.72495,0.7652249999999999,1.08,1.11,train,000010135,0001
3,AH,2.0,-2.4805691242218018,-6.093325614929199,0.926325,0.9464625,1.11,1.14,train,000010135,0001
4,L,2.0,-0.15053293108940125,-4.338186740875244,1.1478374999999998,1.1881125,1.14,1.2,train,000010135,0001
5,AH,2.0,-7.798214912414551,-11.00666332244873,1.329075,1.3492125,1.2,1.4,train,000010135,0001
6,V,2.0,-3.997239351272583,-8.115489959716797,1.4700374999999999,1.490175,1.4,1.51,train,000010135,0001
7,Z,1.6,-3.030428171157837,-9.8189115524292,1.5103125,1.5304499999999999,1.51,1.66,train,000010135,0001
8,EH,1.6,-5.694634914398193,-11.664604187011719,1.8325125,1.85265,1.73,1.87,train,000010135,0001
9,G,2.0,-10.52617359161377,-11.836613655090332,1.9533375,1.9734749999999999,1.87,2.08,train,000010135,0001
10,P,2.0,-0.0017546509625390172,-9.634414672851562,2.1144374999999997,2.134575,2.08,2.17,train,000010135,0001
11,L,2.0,-0.021318338811397552,-5.494140625,2.1547125,2.1748499999999997,2.17,2.2,train,000010135,0001
12,AE,2.0,-0.08195681124925613,-10.143227577209473,2.3158125,2.3560875,2.2,2.37,train,000010135,0001
13,N,2.0,-0.10152072459459305,-5.976188659667969,2.376225,2.4366375,2.37,2.49,train,000010135,0001
14,T,2.0,-1.6042805910110474,-8.798401832580566,2.537325,2.5776,2.49,2.64,train,000010135,0001
0,D,2.0,-0.006087808404117823,-8.442707061767578,0.6409638554216868,0.6609939759036145,0.62,0.68,train,000010140,0001
1,AA,1.8,-0.0027942101005464792,-13.036229133605957,0.8212349397590362,0.8612951807228916,0.68,0.71,train,000010140,0001
2,R,2.0,-0.14253807067871094,-8.08285903930664,0.901355421686747,0.9614457831325302,0.71,0.97,train,000010140,0001
3,AH,2.0,-6.807939052581787,-11.828341484069824,1.1016566265060241,1.121686746987952,0.97,1.2,train,000010140,0001
4,IH,2.0,-0.0030149028170853853,-9.993515014648438,1.321987951807229,1.3420180722891566,1.23,1.36,train,000010140,0001
5,Z,2.0,-0.001765955938026309,-10.27914810180664,1.3820783132530121,1.4021084337349399,1.36,1.46,train,000010140,0001
6,N,2.0,-0.002284838119521737,-8.328524589538574,1.4822289156626507,1.522289156626506,1.46,1.58,train,000010140,0001
7,AA,1.6,-3.540236711502075,-11.320603370666504,1.6625,1.6825301204819278,1.58,1.71,train,000010140,0001
8,T,2.0,-3.5391132831573486,-11.29123592376709,1.7826807228915664,1.802710843373494,1.71,1.86,train,000010140,0001
9,AH,2.0,-0.4385216236114502,-10.34285831451416,1.9629518072289158,2.003012048192771,1.86,2.1,train,000010140,0001
10,K,2.0,-0.001424132497049868,-8.44276237487793,2.143222891566265,2.1632530120481928,2.13,2.2,train,000010140,0001
11,L,2.0,-0.14729027450084686,-6.102785110473633,2.1832831325301205,2.223343373493976,2.2,2.24,train,000010140,0001
12,IY,2.0,-0.002202943665906787,-9.208510398864746,2.3034638554216866,2.3234939759036144,2.24,2.35,train,000010140,0001
13,N,2.0,-0.024121126160025597,-3.7494454383850098,2.36355421686747,2.4036144578313254,2.35,2.51,train,000010140,0001
14,ER,2.0,-7.382824897766113,-11.36069107055664,2.6239457831325304,2.643975903614458,2.51,2.75,train,000010140,0001
0,M,2.0,-0.004464367870241404,-5.385528087615967,0.6017241379310345,0.661896551724138,0.58,0.7,train,000010145,0001
1,AA,2.0,-4.022815227508545,-11.066905975341797,0.8223563218390805,0.8424137931034483,0.7,0.86,train,000010145,0001
2,R,1.8,-8.954385757446289,-12.21818733215332,0.8424137931034483,0.8624712643678161,0.86,0.9,train,000010145,0001
3,K,1.6,-0.010520710609853268,-6.532800674438477,0.982816091954023,1.0028735632183907,0.9,1.02,train,000010145,0001
4,L,2.0,-2.880181074142456,-12.277215003967285,1.2235057471264368,1.2435632183908045,1.02,1.06,train,000010145,0001
5,IH,2.0,-0.0037384824827313423,-8.181694984436035,1.3839655172413794,1.4240804597701149,1.06,1.45,train,000010145,0001
6,V,2.0,-0.002757780719548464,-6.479194641113281,1.4641954022988506,1.5043103448275863,1.45,1.53,train,000010145,0001
7,D,2.0,-0.012180822901427746,-7.493764400482178,1.5444252873563218,1.5644827586206898,1.53,1.59,train,000010145,0001
8,IH,2.0,-0.10695252567529678,-9.75275707244873,1.965632183908046,1.9856896551724137,1.86,2.0,train,000010145,0001
9,N,2.0,-0.044959116727113724,-6.858504772186279,2.0057471264367814,2.065919540229885,2.0,2.14,train,000010145,0001
10,N,2.0,-9.837943077087402,-12.685419082641602,2.3266666666666667,2.3467241379310346,2.14,2.18,train,000010145,0001
11,UW,2.0,-0.0021142051555216312,-5.836887836456299,2.3467241379310346,2.366781609195402,2.29,2.35,train,000010145,0001
12,Y,2.0,-0.005651563871651888,-8.523921012878418,2.487126436781609,2.5472988505747125,2.35,2.54,train,000010145,0001
13,AA,2.0,-3.4910590648651123,-12.753148078918457,2.647586206896552,2.6676436781609194,2.54,2.62,train,000010145,0001
14,K,2.0,-0.0010674261720851064,-9.524717330932617,2.8080459770114943,2.8281034482758622,2.7,2.89,train,000010145,0001
0,B,2.0,-0.0018818541429936886,-7.005390167236328,0.583558282208589,0.603680981595092,0.57,0.61,train,000010149,0001
1,AA,1.4,-7.360355377197266,-11.705671310424805,0.7244171779141104,0.7445398773006134,0.61,0.87,train,000010149,0001
2,B,2.0,-6.949347019195557,-10.165544509887695,0.8652760736196319,0.8853987730061349,0.87,0.9,train,000010149,0001
3,L,2.0,-0.011345000937581062,-7.597433567047119,1.0866257668711656,1.1268711656441717,1.04,1.11,train,000010149,0001
4,IH,2.0,-0.045836981385946274,-8.187618255615234,1.207361963190184,1.2476073619631902,1.11,1.26,train,000010149,0001
5,V,2.0,-0.03091997466981411,-4.557170867919922,1.3079754601226994,1.3482208588957054,1.26,1.36,train,000010149,0001
6,Z,1.6,-4.710737228393555,-9.890490531921387,1.3683435582822085,1.3884662576687117,1.36,1.49,train,000010149,0001
